transaction_id,account_id,amount,iso_currency_code,unofficial_currency_code,category,category_id,date,authorized_date,location_address,location_city,location_region,location_postal_code,location_country,location_lat,location_lon,name,merchant_name,payment_channel,pending,pending_transaction_id,account_owner,transaction_code
tx0001,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2024-09-09,2024-09-08,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0002,67890,45.20,USD,,["Shops", "Groceries"],13001000,2024-09-10,2024-09-09,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0003,67890,250.00,USD,,["Travel", "Airlines"],22000000,2024-09-11,2024-09-10,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0004,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2024-09-12,2024-09-11,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0005,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2024-09-13,2024-09-12,,,,,,,Netflix,Netflix,online,false,,,
tx0006,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2024-09-14,2024-09-13,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0007,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2024-09-15,2024-09-14,,,,,,,Amazon,Amazon,online,false,,,
tx0008,67890,35.00,USD,,["Travel", "Gas"],22002000,2024-09-16,2024-09-15,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0009,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2024-09-17,2024-09-16,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0010,67890,75.00,USD,,["Services", "Education"],24000000,2024-09-18,2024-09-17,,,,,,,Coursera,Coursera,online,false,,,
tx0011,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2024-09-19,2024-09-18,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0012,67890,67.80,USD,,["Shops", "Groceries"],13001000,2024-09-20,2024-09-19,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0013,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-09-21,2024-09-20,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0014,67890,120.50,USD,,["Bills and Utilities", "Utilities"],18000000,2024-09-22,2024-09-21,456 Verizon Ave,San Francisco,CA,94103,US,37.7768,-122.4212,Verizon,Verizon,online,false,,,
tx0015,67890,18.50,USD,,["Recreation", "Entertainment"],19000000,2024-09-23,2024-09-22,,,,,,,Hulu,Hulu,online,false,,,
tx0016,67890,20.00,USD,,["Health", "Pharmacy"],15000000,2024-09-24,2024-09-23,456 Wellness Ave,San Francisco,CA,94103,US,37.7772,-122.4216,Walgreens,Walgreens,in store,false,,,
tx0017,67890,99.99,USD,,["Shops", "General Merchandise"],13002000,2024-09-25,2024-09-24,150 Target Dr,San Francisco,CA,94103,US,37.7775,-122.4219,Target Store,Target Store,in store,false,,,
tx0018,67890,50.00,USD,,["Travel", "Gas"],22002000,2024-09-26,2024-09-25,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0019,67890,40.50,USD,,["Shops", "Personal Care"],13006000,2024-09-27,2024-09-26,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0020,67890,150.00,USD,,["Services", "Education"],24000000,2024-09-28,2024-09-27,,,,,,,Udemy,Udemy,online,false,,,
tx0021,67890,9.99,USD,,["Food and Drink", "Restaurants"],13005000,2024-09-29,2024-09-28,789 Mission St,San Francisco,CA,94107,US,37.7751,-122.4196,Chipotle,Chipotle,in store,false,,,
tx0022,67890,32.10,USD,,["Shops", "Groceries"],13001000,2024-09-30,2024-09-29,300 Mission St,San Francisco,CA,94105,US,37.7762,-122.4206,Safeway,Safeway,in store,false,,,
tx0023,67890,450.00,USD,,["Travel", "Hotels"],22001000,2024-10-01,2024-10-01,1010 Howard St,San Francisco,CA,94103,US,37.7870,-122.3960,Marriott,Marriott,online,false,,,
tx0024,67890,75.25,USD,,["Bills and Utilities", "Utilities"],18000000,2024-10-02,2024-10-01,789 PG&E Blvd,San Francisco,CA,94107,US,37.7769,-122.4213,PG&E,PG&E,online,false,,,
tx0025,67890,11.00,USD,,["Recreation", "Entertainment"],19000000,2024-10-03,2024-10-02,,,,,,,AMC Theatres,AMC Theatres,online,false,,,
tx0026,67890,35.50,USD,,["Health", "Pharmacy"],15000000,2024-10-04,2024-10-03,789 Care Blvd,San Francisco,CA,94107,US,37.7773,-122.4217,Rite Aid,Rite Aid,in store,false,,,
tx0027,67890,150.25,USD,,["Shops", "General Merchandise"],13002000,2024-10-05,2024-10-04,250 Walmart Way,San Francisco,CA,94105,US,37.7776,-122.4220,Walmart,Walmart,in store,false,,,
tx0028,67890,42.75,USD,,["Travel", "Gas"],22002000,2024-10-06,2024-10-05,901 Energy St,San Francisco,CA,94109,US,37.7780,-122.4224,Exxon,Exxon,in store,false,,,
tx0029,67890,15.75,USD,,["Shops", "Personal Care"],13006000,2024-10-07,2024-10-06,300 Style Ave,San Francisco,CA,94105,US,37.7783,-122.4227,The Body Shop,The Body Shop,in store,false,,,
tx0030,67890,50.00,USD,,["Services", "Education"],24000000,2024-10-08,2024-10-07,,,,,,,LinkedIn Learning,LinkedIn Learning,online,false,,,
tx0031,67890,22.30,USD,,["Food and Drink", "Restaurants"],13005000,2024-10-09,2024-10-08,321 Castro St,San Francisco,CA,94110,US,37.7752,-122.4197,In-N-Out Burger,In-N-Out Burger,in store,false,,,
tx0032,67890,55.55,USD,,["Shops", "Groceries"],13001000,2024-10-10,2024-10-09,400 Van Ness Ave,San Francisco,CA,94109,US,37.7763,-122.4207,Kroger,Kroger,in store,false,,,
tx0033,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-10-11,2024-10-10,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0034,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2024-10-12,2024-10-11,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0035,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2024-10-13,2024-10-12,,,,,,,Spotify,Spotify,online,false,,,
tx0036,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2024-10-14,2024-10-13,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0037,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2024-10-15,2024-10-14,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0038,67890,60.00,USD,,["Travel", "Gas"],22002000,2024-10-16,2024-10-15,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0039,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2024-10-17,2024-10-16,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0040,67890,125.00,USD,,["Services", "Education"],24000000,2024-10-18,2024-10-17,,,,,,,Coursera,Coursera,online,false,,,
tx0041,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2024-10-19,2024-10-18,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0042,67890,45.20,USD,,["Shops", "Groceries"],13001000,2024-10-20,2024-10-19,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0043,67890,250.00,USD,,["Travel", "Airlines"],22000000,2024-10-21,2024-10-20,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0044,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2024-10-22,2024-10-21,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0045,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2024-10-23,2024-10-22,,,,,,,Netflix,Netflix,online,false,,,
tx0046,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2024-10-24,2024-10-23,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0047,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2024-10-25,2024-10-24,,,,,,,Amazon,Amazon,online,false,,,
tx0048,67890,35.00,USD,,["Travel", "Gas"],22002000,2024-10-26,2024-10-25,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
